Legal name,full_address,Lat,Long
BIG BROTHERS & BIG SISTERS OF VICTORIA CAPITAL REGION,"230 BAY ST., VICTORIA, BC, V9A3K5, CA",48.4333245,-123.3823868
BIG BROTHERS BIG SISTERS OF THE FRASER VALLEY,"SUITE 200-2445 WEST RAILWAY ST, ABBOTSFORD, BC, V2S2E3, CA",49.046256,-122.2869432
BIG BROTHERS OF GREATER VANCOUVER,"102-1193 KINGSWAY, VANCOUVER, BC, V5V3C9, CA",49.2524818,-123.080318
BOYS AND GIRLS CLUBS OF CENTRAL VANCOUVER ISLAND,"2290 BOWEN RD, NANAIMO, BC, V9T3K7, CA",49.1945439,-123.9925383
BOYS' & GIRLS' CLUB OF KAMLOOPS,"150 WOOD ST, KAMLOOPS, BC, V2B0G6, CA",50.6900598,-120.3546408
BRALORNE-PIONEER MUSEUM SOCIETY,"3767 LILLOOET-PIONEER HWY 40, BRALORNE, BC, V0K1P0, CA",50.77819030000001,-122.8196542
BRITISH COLUMBIA FOREST MUSEUM,"2892 DRINKWATER RD, DUNCAN, BC, V9L6C2, CA",48.8022947,-123.7153066
FORED BC SOCIETY,"213 4438 WEST 10 AVE, VANCOUVER, BC, V6R4R8, CA",49.2636275,-123.207269
BRITISH COLUMBIA LUNG ASSOCIATION,"2675 OAK STREET, VANCOUVER, BC, V6H2K2, CA",49.2618151,-123.1269601
INCLUSION BC SOCIETY,"227 SIXTH ST, NEW WESTMINSTER, BC, V3L3A5, CA",49.2082328,-122.9138866
H.R. MACMILLAN SPACE CENTRE SOCIETY,"1100 CHESTNUT ST, VANCOUVER, BC, V6J3J9, CA",49.27638349999999,-123.1445046
NORTHWEST CHILD DEVELOPMENT CENTRE SOCIETY,"BOX 995, SMITHERS, BC, V0J2N0, CA",54.782355,-127.1685541
BURNABY ARTS COUNCIL,"6584 DEER LAKE AVENUE, BURNABY, BC, V5G3T7, CA",49.2392815,-122.9688707
BURNABY ASSOCIATION FOR THE COMMUNITY INCLUSION,"130 - 4946 CANADA WAY, BURNABY, BC, V5G4H7, CA",49.24492240000001,-122.97244
BURNABY HOSPITAL FOUNDATION,"3935 KINCAID STREET, BURNABY, BC, V5G2X6, CA",49.2494148,-123.0141251
BURNABY MEALS ON WHEELS SOCIETY,"2055 ROSSER AVENUE, BURNABY, BC, V5C0H1, CA",49.2662488,-123.0064198
BURNS LAKE PUBLIC LIBRARY BOARD,"BOX 449, BURNS LAKE, BC, V0J1E0, CA",54.2334148,-125.763613
BURQUITLAM SENIOR HOUSING SOCIETY,"560 AUSTIN AVE, COQUITLAM, BC, V3K3M9, CA",49.2488948,-122.8877256
CAMOSUN DAY CARE SOCIETY,"106 - 740 HILLSIDE AVE, VICTORIA, BC, V8T1Z4, CA",48.43903,-123.36561
CAMPBELL RIVER AND NORTH ISLAND TRANSITION SOCIETY,"101 - 1116 DOGWOOD ST, CAMPBELL RIVER, BC, V9W3A2, CA",50.0262511,-125.2497334
THE CAMPBELL RIVER AND DISTRICT MUSEUM AND ARCHIVES SOCIETY,"470 ISLAND HWY, BOX 70, STN A, CAMPBELL RIVER, BC, V9W4Z9, CA",50.0153904,-125.2360012
CANADA-CHINA CHILD HEALTH FOUNDATION,"113-990 BEACH AVE, VANCOUVER, BC, V6Z2N9, CA",49.2754132,-123.1338836
"CANADIAN HEMOPHILIA SOCIETY,B.C. CHAPTER","P.O. BOX 21161, MAPLE RIDGE SQUARE RPO, MAPLE RIDGE, BC, V2X1P7, CA",49.22093719999999,-122.5998373
"CANADIAN MENTAL HEALTH ASSOCIATION, KELOWNA AND DISTRICT BRANCH","504 SUTHERLAND AVE, KELOWNA, BC, V1Y5X1, CA",49.8797054,-119.4932949
"CANADIAN MENTAL HEALTH ASSOCIATION, VERNON AND DISTRICT BRANCH","3100 28TH AVE, VERNON, BC, V1T1W3, CA",50.2621081,-119.2726222
"CANADIAN MENTAL HEALTH ASSOCIATION, PORT ALBERNI BRANCH","3178-2ND AVE, PORT ALBERNI, BC, V9Y4C3, CA",49.2357597,-124.8094434
PATHWAYS CLUBHOUSE SOCIETY OF RICHMOND,"315 - 8111 GRANVILLE AVE, RICHMOND, BC, V6Y1P5, CA",49.162933,-123.1355202
"CANADIAN MENTAL HEALTH ASSOCIATION, NORTH AND WEST VANCOUVERBRANCH","300 - 1835 LONSDALE AVE, NORTH VANCOUVER, BC, V7M2J8, CA",49.32580979999999,-123.0724643
CANADIAN MUSEUM OF FLIGHT ASSOCIATION,"5333 216 ST, LANGLEY, BC, V2Y2N3, CA",49.099998,-122.6247378
CANADIAN RAMGARHIA SOCIETY,"8365 140TH ST, SURREY, BC, V3W5K9, CA",49.15469179999999,-122.8352207
CAPILANO COMMUNITY SERVICES SOCIETY,"600 WEST QUEENS ROAD, NORTH VANCOUVER, BC, V7N2L3, CA",49.3372019,-123.0865801
ISLAND COMMUNITY MENTAL HEALTH ASSOCIATION,"125 SKINNER ROAD, VICTORIA, BC, V9A6X4, CA",48.4350928,-123.3821572
CASTLEGAR & DISTRICT COMMUNITY SERVICES SOCIETY,"1007 2ND ST, CASTLEGAR, BC, V1N1Y4, CA",49.3276017,-117.6635411
CASTLEGAR AND DISTRICT HERITAGE SOCIETY,"4 - 615 COLUMBIA AVE, CASTLEGAR, BC, V1N1G9, CA",49.3223043,-117.6657631
CATHOLIC CHARITIES OF THE ARCHDIOCESE OF VANCOUVER,"4885 SAINT JOHN PAUL II WAY, VANCOUVER, BC, V5Z0G3, CA",49.2417141,-123.1229162
UNITED WAY SOUTHERN INTERIOR BC,"4543 CANADA WAY, BURNABY, BC, V5G4T4, CA",49.2551,-123.0005787
CEREBRAL PALSY ASSOCIATION OF BRITISH COLUMBIA,"330-409 GRANVILLE ST, VANCOUVER, BC, V6C1T2, CA",49.2856692,-123.1130913
CHETWYND PUBLIC LIBRARY ASSOCIATION,"PO BOX 1420, CHETWYND, BC, V0C1J0, CA",55.6976802,-121.6296734
CHILLIWACK OPPORTUNITY SOCIETY,"10135 WILLIAMS ROAD, CHILLIWACK, BC, V2P5H3, CA",49.1852053,-121.9469295
THE CHINESE COMMUNITY LIBRARY SERVICES ASSOCIATION,"591 E PENDER ST, VANCOUVER, BC, V6A1V3, CA",49.2803452,-123.0919185
DUNCAN HOUSING SOCIETY,"280 FIRST ST, DUNCAN, BC, V9L4T3, CA",48.7802593,-123.7119934
COMMUNITY SOCIAL PLANNING COUNCIL OF GREATER VICTORIA,"216 - 852 FORT ST, VICTORIA, BC, V8W1H8, CA",48.42434,-123.36027
COMMUNITY LIVING SOCIETY,"7FLR - 713 COLUMBIA ST, NEW WESTMINSTER, BC, V3M1B2, CA",49.202166,-122.910522
COMOX VALLEY CHILD DEVELOPMENT ASSOCIATION,"237-3RD STREET, COURTENAY, BC, V9N1E1, CA",49.6929246,-124.9988761
COMOX VALLEY CHILDREN'S DAY CARE SOCIETY,"1800 NOEL AVENUE, COMOX, BC, V9M2L1, CA",49.68274419999999,-124.9267785
COMOX VALLEY FAMILY SERVICES ASSOCIATION,"1415 CLIFFE AVE, COURTENAY, BC, V9N2K6, CA",49.6860727,-124.993139
CONAYT FRIENDSHIP SOCIETY,"BOX 1989, MERRITT, BC, V1K1B8, CA",50.1110816,-120.7881949
CORPORATION OF THE CITY OF PENTICTON,"785 MAIN ST, PENTICTON, BC, V2A5E3, CA",49.4909402,-119.5892341
THE COURTENAY AND DISTRICT HISTORICAL SOCIETY,"207 4TH ST, COURTENAY, BC, V9N1G7, CA",49.69218170000001,-124.9983972
COWICHAN FAMILY LIFE ASSOCIATION,"28-127 INGRAM ST, DUNCAN, BC, V9L1N8, CA",48.77950939999999,-123.7088202
COWICHAN LAKE COMMUNITY SERVICES SOCIETY,"BOX 670, LAKE COWICHAN, BC, V0R2G0, CA",48.8258118,-124.054167
CRESTERAMICS SOCIETY FOR THE HANDICAPPED,"PO BOX 927, CRESTON, BC, V0B1G0, CA",49.0955401,-116.5135079
CRESTON AND DISTRICT HISTORICAL AND MUSEUM SOCIETY,"219 DEVON ROAD, CRESTON, BC, V0B1G3, CA",49.1059273,-116.5223382
CRESTON PUBLIC LIBRARY ASSN,"531 16TH AVE S, CRESTON, BC, V0B1G5, CA",49.0896238,-116.5060066
CRISIS INTERVENTION AND SUICIDE PREVENTION CENTRE OF BRITISH COLUMBIA,"763 BROADWAY E, VANCOUVER, BC, V5T1X8, CA",49.262647,-123.0877288
CRISIS PREGNANCY CENTRE OF VANCOUVER SOCIETY,"7879 EDMONDS ST, BURNABY, BC, V3N1B9, CA",49.2262141,-122.9378121
CUMBERLAND & DISTRICT HISTORICAL SOCIETY,"BOX 258 2680 DUNSMUIR AVE, CUMBERLAND, BC, V0R1S0, CA",49.6189739,-125.0316086
CYTHERA TRANSITION HOUSE SOCIETY,"22318 MCINTOSH AVE, MAPLE RIDGE, BC, V2X3C1, CA",49.2194043,-122.6039765
DAVID FOSTER FOUNDATION,"212 HENRY ST, VICTORIA, BC, V9A3H9, CA",48.4320277,-123.383972
DAWSON CREEK SOCIETY FOR COMMUNITY LIVING,"1334-102 AVE, DAWSON CREEK, BC, V1G2C6, CA",55.7597642,-120.2405721
PARKGATE COMMUNITY SERVICES SOCIETY,"3625 BANFF COURT, NORTH VANCOUVER, BC, V7H2Z8, CA",49.3178742,-122.9708249
DELTA HERITAGE SOCIETY,"4918 DELTA ST, DELTA, BC, V4K2V2, CA",49.0923797,-123.0867813
NUTRITIONLINK SERVICES SOCIETY,"649-718 333 BROOKSBANK, NORTH VANCOUVER, BC, V7J3V8, CA",49.3087113,-123.0424729
"STEP UP ""N"" RIDE SOCIETY","732 115 AVE, DAWSON CREEK, BC, V1G3B8, CA",55.7461582,-120.2232628
DISCOVERY PLAYHOUSE CHILDRENS SOCIETY,"12027 HARRIS ROAD, PITT MEADOWS, BC, V3Y2B5, CA",49.22098829999999,-122.6915058
DISTRICT OF MACKENZIE,"BOX 750, MACKENZIE, BC, V0J2C0, CA",55.3380971,-123.0945192
DISTRICT 69 SOCIETY OF ORGANIZED SERVICES,"PO BOX 898  STN MAIN, PARKSVILLE, BC, V9P2G9, CA",49.3178555,-124.3054654
DUNCAN DAY CARE SOCIETY,"PO BOX 333 STN MAIN, DUNCAN, BC, V9L3X5, CA",48.7795079,-123.7091708
CLEMENTS CENTRE SOCIETY,"5856 CLEMENTS ST, DUNCAN, BC, V9L3W3, CA",48.7834616,-123.7070068
EAST KOOTENAY ADDICTION SERVICES SOCIETY,"202-1617 BAKER ST., CRANBROOK, BC, V1C1B4, CA",49.51187669999999,-115.7587247
PRE-MATERNELLE POMME D'API,"2190 44TH AVENUE E, VANCOUVER, BC, V5P1N2, CA",49.23007399999999,-123.0623273
PRINCE GEORGE AND DISTRICT ELIZABETH FRY SOCIETY,"1575 5TH AVE, PRINCE GEORGE, BC, V2L3L9, CA",53.91644420000001,-122.751708
ENDERBY PRESCHOOL SOCIETY,"BOX 384, ENDERBY, BC, V0E1V0, CA",50.5508499,-119.1396705
KOOTENAY SOCIETY FOR COMMUNITY LIVING,"2224 6TH AVE, CASTLEGAR, BC, V1N2V9, CA",49.2900159,-117.6496114
ESQUIMALT NEIGHBOURHOOD HOUSE SOCIETY,"511 CONSTANCE AVE, VICTORIA, BC, V9A6N5, CA",48.42875950000001,-123.4179353
THE FERNWOOD COMMUNITY ASSOCIATION OF GREATER VICTORIA,"1923 FERNWOOD RD, VICTORIA, BC, V8T2Y6, CA",48.4302421,-123.3449592
FERNWOOD NEIGHBOURHOOD RESOURCE GROUP SOCIETY,"1240 GLADSTONE AVE, VICTORIA, BC, V8T1G6, CA",48.4307689,-123.3482424
FINNISH CANADIAN REST HOME ASSOCIATION,"2288 HARRISON DR, VANCOUVER, BC, V5P2P6, CA",49.2084437,-123.0609998
BURNS LAKE CHRISTIAN SUPPORTIVE SOCIETY,"BOX 1142, BURNS LAKE, BC, V0J1E0, CA",54.2334148,-125.763613
FORT NELSON PLAYSCHOOL SOCIETY,"PO BOX 834, FORT NELSON, BC, V0C1R0, CA",58.8050174,-122.697236
"Fort St. John, Association for Community Living","10251 100 AVE, FORT ST. JOHN, BC, V1J1Y8, CA",56.24619999999999,-120.851969
FORT ST. JOHN PUBLIC LIBRARY ASSOCIATION,"10015 100 AVE, FORT ST. JOHN, BC, V1J1Y7, CA",56.2459863,-120.8480893
FORT ST. JOHN WOMEN'S RESOURCE SOCIETY,"10051 100 AVE, FORT ST JOHN, BC, V1J1Y7, CA",56.24620669999999,-120.8487812
FRANKLIN COMMUNITY SCHOOL ASSOCIATION,"250 SOUTH SKEENA STREET, VANCOUVER, BC, V5K4N8, CA",49.2827225,-123.0267444
FRASER HOUSE SOCIETY,"33063 4TH AVE, MISSION, BC, V2V1S6, CA",49.13730409999999,-122.3080261
FRASER REGION COMMUNITY JUSTICE INITIATIVES ASSOCIATION,"102B - 6270 205 ST, LANGLEY, BC, V2Y1N7, CA",49.11666109999999,-122.6536968
FRASERSIDE COMMUNITY SERVICES SOCIETY,"330 - 550 SIXTH ST, NEW WESTMINSTER, BC, V3L3B7, CA",49.2128299,-122.92029
FRASER VALLEY REGIONAL LIBRARY,"34589 DELAIR RD, ABBOTSFORD, BC, V2S5Y1, CA",49.0373658,-122.2670397
FRIENDLY FOREST PRESCHOOL ASSOCIATION,"2505 SUNNYSIDE RD., ANMORE, BC, V3H4Y6, CA",49.31104389999999,-122.8580893
FRIENDSHIP HOUSE ASSOCIATION OF PRINCE RUPERT,"744 FRASER ST, PRINCE RUPERT, BC, V8J1P9, CA",54.3099696,-130.3278634
THE GARTH HOMER SOCIETY,"813 DARWIN AVE, VICTORIA, BC, V8X2X7, CA",48.4587667,-123.374029
GERMAN CANADIAN BENEVOLENT SOCIETY OF BC,"2010 HARRISON DRIVE,, VANCOUVER, BC, V5P2P6, CA",49.2098558,-123.065048
GIBSONS PUBLIC LIBRARY ASSOCIATION,"P.O. BOX 109, GIBSONS, BC, V0N1V0, CA",49.4062203,-123.5108797
GLACIER VIEW LODGE SOCIETY,"2137 COMOX AVE, COMOX, BC, V9M1P2, CA",49.6744637,-124.9415684
GOLDEN COMMUNITY RESOURCES SOCIETY,"BOX 746, GOLDEN, BC, V0A1H0, CA",51.2961188,-116.9631367
GOLDEN EARS CARE SOCIETY,"22220 126 AVE, MAPLE RIDGE, BC, V2X0W5, CA",49.2310382,-122.6066086
GOLDEN WOMEN'S CENTRE SOCIETY,"BOX 2343, GOLDEN, BC, V0A1H0, CA",51.2961188,-116.9631367
GREATER VANCOUVER FOOD BANK SOCIETY,"8345 WINSTON ST, BURNABY, BC, V5A2H3, CA",49.2497769,-122.9226999
INTERLINK FEDERATED PUBLIC LIBRARY SYSTEM,"#158 - 5489 BYRNE ROAD, BURNABY, BC, V5J3J1, CA",49.2015204,-122.984867
GREATER VICTORIA POLICE VICTIM SERVICES SOCIETY,"1 - 57 CADILLAC AVE, VICTORIA, BC, V8Z1T3, CA",48.4581448,-123.3845821
GREATER VICTORIA WOMEN'S SHELTER SOCIETY,"PO BOX 5291 STN B, VICTORIA, BC, V8R6N4, CA",48.44151,-123.3181119
THE GREENWOOD HERITAGE SOCIETY,"BOX 399, GREENWOOD, BC, V0H1J0, CA",49.08789549999999,-118.6780998
GREENWOODS ELDERCARE SOCIETY,"133 BLAIN RD, SALT SPRING ISLAND, BC, V8K1Z9, CA",48.861968,-123.5105564
GULF OF GEORGIA CANNERY SOCIETY,"12138 4TH AVE, RICHMOND, BC, V7E3J1, CA",49.1253735,-123.1868478
HALLMARK SOCIETY,"15-1594 FAIRFIELD RD   PO BOX, 50013 FAIRFIELD PLAZA PO, VICTORIA, BC, V8V1G1, CA",48.41249140000001,-123.3375162
HARRY & LIN CHIN FOUNDATION,"145 CORDOVA ST E, VANCOUVER, BC, V6A1K7, CA",49.2825557,-123.1005107
HASTINGS COMMUNITY ASSOCIATION,"3096 E HASTINGS ST, VANCOUVER, BC, V5K2A3, CA",49.280658,-123.0394186
HAZELTON DISTRICT PUBLIC LIBRARY ASSOCIATION,"BOX 323, HAZELTON, BC, V0J1Y0, CA",55.2568166,-127.672002
HIGHLAND HERITAGE SOCIETY,"378 MILLSTREAM LAKE RD, VICTORIA, BC, V9B6H5, CA",48.527457,-123.505383
HOLLYBURN OUT-OF-SCHOOL CARE SOCIETY,"1150 22ND ST, WEST VANCOUVER, BC, V7V4C4, CA",49.3346369,-123.1703024
HOPE INTERNATIONAL DEVELOPMENT AGENCY,"410 - 713 COLUMBIA ST, NEW WESTMINSTER, BC, V3M1B2, CA",49.202067,-122.9103579
HORNBY AND DENMAN COMMUNITY HEALTH CARE SOCIETY,"1965 SOLLANS RD, HORNBY ISLAND, BC, V0R1Z0, CA",49.53441420000001,-124.6649597
HORNBY ISLAND DAYCARE SOCIETY,"2200 SOLLANS RD, HORNBY ISLAND, BC, V0R1Z0, CA",49.5326041,-124.6648442
HOUSTON PUBLIC LIBRARY,"BOX 840, HOUSTON, BC, V0J1Z0, CA",54.3979972,-126.6482087
STRIVE LIVING SOCIETY,"500 - 4370 DOMINION ST, BURNABY, BC, V5G4L7, CA",49.2560327,-123.0067211
THE HUDSON'S HOPE HISTORICAL SOCIETY,"9510 BEATTIE DRIVE, PO BOX #98, HUDSON'S HOPE, BC, V0C1V0, CA",56.0279659,-121.9091965
IMMIGRANT AND MULTICULTURAL SERVICES SOCIETY OF PRINCE GEORGE,"1270 2ND AVE, PRINCE GEORGE, BC, V2L3B3, CA",53.9179116,-122.7447348
INDEPENDENT LIVING HOUSING SOCIETY OF GREATER VICTORIA,"101-367 BURNSIDE RD E, VICTORIA, BC, V9A1A7, CA",48.44739,-123.38103
ITALIAN CULTURAL CENTRE SENIOR CITIZENS HOUSING SOCIETY,"2610 GRANDVIEW HWY S, VANCOUVER, BC, V5M4P5, CA",49.2571914,-123.0520073
ALDERGROVE LIONS SENIORS HOUSING SOCIETY,"202 - 26641 FRASER HWY, ALDERGROVE, BC, V4W3L1, CA",49.0594963,-122.4864991
JAPANESE COMMUNITY VOLUNTEERS ASSOCIATION,"101-42 WEST 8TH AVE, VANCOUVER, BC, V5Y1M7, CA",49.26371169999999,-123.1060835
JEWISH FAMILY SERVICE AGENCY,"320 - 2285 CLARK DR, VANCOUVER, BC, V5N3G9, CA",49.2644961,-123.0779224
JEWISH HOME FOR THE AGED OF BRITISH COLUMBIA,"1055 W 41ST AVE, VANCOUVER, BC, V6M1W9, CA",49.2345285,-123.1292208
THE JOHN HOWARD SOCIETY OF NORTH ISLAND,"#201-140A 10TH AVENUE, CAMPBELL RIVER, BC, V9W4E3, CA",50.02569,-125.245101
TURNING POINTS COLLABORATIVE SOCIETY,"102 - 3301 24 AVE, VERNON, BC, V1T9S8, CA",50.2597061,-119.2755647
THE JOHN HOWARD SOCIETY OF VICTORIA,"2675 BRIDGE STREET, VICTORIA, BC, V8T4Y4, CA",48.43691099999999,-123.3730115
CONNECTIVE SUPPORT SOCIETY,"763 KINGSWAY, VANCOUVER, BC, V5V3C2, CA",49.2560787,-123.0879382
THE JOHN HOWARD SOCIETY OF BRITISH COLUMBIA,"763 KINGSWAY, VANCOUVER, BC, V5V3C2, CA",49.2560787,-123.0879382
NORTHERN JOHN HOWARD SOCIETY OF BC,"154 QUEBEC ST, PRINCE GEORGE, BC, V2L1W2, CA",53.9184316,-122.7445154
WESTMINSTER HOUSE SOCIETY,"228 7TH ST., NEW WESTMINSTER, BC, V3M3K3, CA",49.2072624,-122.9158717
KAMLOOPS CHILD DEVELOPMENT SOCIETY,"157 HOLWAY STREET, KAMLOOPS, BC, V2B4A3, CA",50.69043680000001,-120.3626563
KAMLOOPS AND DISTRICT ELIZABETH FRY SOCIETY,"827 SEYMOUR ST, KAMLOOPS, BC, V2C2H6, CA",50.6746501,-120.3205439
KAMLOOPS HOSPICE ASSOCIATION,"72 WHITESHIELD CRECENT SOUTH, KAMLOOPS, BC, V2E2S9, CA",50.658919,-120.3365843
KAMLOOPS SOCIETY FOR ALCOHOL & DRUG SERVICES,"922-3RD AVENUE, KAMLOOPS, BC, V2C6W5, CA",50.66949779999999,-120.3367201
KAMLOOPS SOCIETY FOR COMMUNITY INCLUSION,"521 SEYMOUR STREET, KAMLOOPS, BC, V2C2G8, CA",50.6748348,-120.3289674
NORTH KOOTENAY LAKE COMMUNITY SERVICES SOCIETY,"BOX 546, KASLO, BC, V0G1M0, CA",49.91424989999999,-116.9154503
KELOWNA ART GALLERY ASSOCIATION,"1315 WATER ST, KELOWNA, BC, V1Y9R3, CA",49.8913664,-119.4961508
CENTRAL OKANAGAN COMMUNITY FOODBANK SOCIETY,"2310 ENTERPRISE WAY, KELOWNA, BC, V1X4H7, CA",49.8836928,-119.4343915
THE KERMODE FRIENDSHIP SOCIETY,"3313 KALUM ST, TERRACE, BC, V8G2N7, CA",54.5199834,-128.5869143
KIMBERLEY PUBLIC LIBRARY ASSOCIATION,"115 SPOKANE ST, KIMBERLEY, BC, V1A2E5, CA",49.6863572,-115.9850002
KAMLOOPS KIWANIS HOUSE SOCIETY,"101 COLUMBIA STREET, KAMLOOPS, BC, V2C2S7, CA",50.6711017,-120.3388276
KIWANIS CARE SOCIETY (1979) OF NEW WESTMINSTER,"35 CLUTE ST, NEW WESTMINSTER, BC, V3L1Z5, CA",49.223176,-122.9148943
KIWASSA NEIGHBOURHOOD SERVICES ASSOCIATION,"2425 OXFORD STREET, VANCOUVER, BC, V5K1M7, CA",49.2859829,-123.0555911
KOOTENAY FAMILY PLACE,"BOX 3144, CASTLEGAR, BC, V1N3H4, CA",49.325596,-117.6632938
KOOTENAY DOUKHOBOR HISTORICAL (KUTNEISKOE DOUKHOBORCHESKOE OBSHCHESTVO ISTOCHESKOE) SOCIETY,"112 HERITAGE WAY, CASTLEGAR, BC, V1N4M5, CA",49.2965738,-117.6398371
