NAME1,full_address,Lat,Long
Red Fox Healthy Living Society,"500 - 610 Main St, Vancouver, V6A2V3",49.2793074,-123.099343
Red Fox Healthy Living Society,"500 - 610 Main St, Vancouver, V6A2V3",49.2793074,-123.099343
Kiwassa Neighbourhood Services,"2425 Oxford St, Vancouver, V5K1M7",49.2859829,-123.0555911
Burnaby Neighbourhood House,"4460 Beresford St, Burnaby, V5H0B8",49.225379,-123.0043059
Frontier College,"35 Jackes Avenue, Toronto, M4T1E2",43.6852128,-79.39077089999999
Ray-Cam Community Association,"920 E Hastings St, Vancouver, V6A3T1",49.2807852,-123.0838673
Family Education & Support Centre,"22554 Lougheed Highway, Maple Ridge, V2X2V1",49.2169052,-122.597331
Canada SCORES Vancouver - A Charitable,"3023 - 3713 Kensington Ave, Burnaby, V5B0A7",49.2516773,-122.9676986
UMOJA Operation Compassion Society,"208 - 14888 104 Ave, Surrey, V3R1M4",49.191259,-122.809748
Little Mountain Neighbourhood House,"3981 Main Street, Vancouver, V5V3P3",49.2496909,-123.101328
Washington Kids Foundation,"108B - 245 Fell Ave, North Vancouver, V7P2K1",49.3189571,-123.0951876
Touchstone Family Association,"120 - 6411 Buswell St, Richmond, V6Y2G5",49.1658823,-123.1338365
SFU - Simon Fraser University,"8888 University Dr,  Attn: Advancement, Burnaby, V5A1S6",49.2770626,-122.9161002
South Vancouver Neighbourhood House,"6470 Victoria Dr, Vancouver, V5P3X7",49.225528,-123.0653392
School District #46 - Sunshine Coast,"PO Box 220, Gibsons, V0N1V0",49.3974171,-123.5152222
Seabird Island Band,"PO Box 650, Agassiz, V0M1A0",49.250317,-121.7216431
Frontier College,"35 Jackes Avenue, Toronto, M4T1E2",43.6852128,-79.39077089999999
Encompass Support Services,"#103 - 20230 64th Avenue, Langley, V2Y1N3",49.1183102,-122.6622178
DIVERSEcity Community Resources Society,"13455 76 Avenue, Surrey, V3W2W3",49.1410869,-122.849405
Canada SCORES Vancouver - A Charitable,"3023 - 3713 Kensington Ave, Burnaby, V5B0A7",49.2516773,-122.9676986
Chilliwack Community Services,"45938 Wellington Avenue, Chilliwack, V2P2C7",49.1710401,-121.9534069
YMCA of Greater Vancouver,"10 - 620 Royal Ave, New Westminster, V3M1J2",49.20493,-122.91151
Chilliwack Community Services,"45938 Wellington Avenue, Chilliwack, V2P2C7",49.1710401,-121.9534069
Archway Community Services,"2420 Montrose Avenue, Abbotsford, V2S3S9",49.0461038,-122.2901085
Mission Community Services Society,"33179 - 2nd Avenue, Mission, V2V1J9",49.135515,-122.3050854
KidSafe Project Society,"201 - 211 E Georgia St, Vancouver, V6A1Z6",49.2786754,-123.0991962
Archway Community Services,"2420 Montrose Avenue, Abbotsford, V2S3S9",49.0461038,-122.2901085
South Vancouver Neighbourhood House,"6470 Victoria Dr, Vancouver, V5P3X7",49.225528,-123.0653392
Community First Foundation,"102 - 370 Esplanade E, North Vancouver, V7L1A4",49.31103419999999,-123.0788196
Pacific Community Church,"5337 - 180th Street, Surrey, V3S4K5",49.10001459999999,-122.7244685
Burnaby Neighbourhood House,"4460 Beresford St, Burnaby, V5H0B8",49.225379,-123.0043059
Sources Community Resources Society,"882 Maple Street, White Rock, V4B4M2",49.0180197,-122.7884011
Gordon Neighbourhood House,"1019 Broughton Street, Vancouver, V6G2A7",49.2857087,-123.1336526
DRS Earthwise Society,"6400 3rd Avenue, Delta, V4K1B1",49.0810045,-123.0795716
Collingwood Neighbourhood House,"5288 Joyce Street, Vancouver, V5R6C9",49.2366592,-123.0328345
School District #37 - Delta,"4585 Harvest Drive, Delta, V4K5B4",49.0861745,-123.0647666
Kiwassa Neighbourhood Services,"2425 Oxford St, Vancouver, V5K1M7",49.2859829,-123.0555911
Pacific Community Church,"5337 - 180th Street, Surrey, V3S4K5",49.10001459999999,-122.7244685
Growing Chefs Society,"230 - 111 W Hastings St, Vancouver, V6B1H4",49.2857713,-123.114304
School District #36 - Surrey,"14033  92 Ave, Surrey, V3V0B7",49.1705885,-122.8337119
Share Family & Community Services,"104 – 3020 Lincoln Avenue, Coquitlam, V6B6B4",49.2786078,-122.7926421
Westcoast Family Centres Society,"220 - 2010 East 48th Avenue, Vancouver, V5P1R8",49.2261469,-123.0653359
Chilliwack Community Services,"45938 Wellington Avenue, Chilliwack, V2P2C7",49.1710401,-121.9534069
School District #42 - Maple Ridge /,"22225 Brown Avenue, Maple Ridge, V2X8N6",49.22214229999999,-122.6056545
Compassionate Neighbourhood Health,"46629 Ramona Drive, Chilliwack, V2P7W6",49.1656859,-121.9338078
UWBC Sardis Hi Neighbour,"P207 - 33355 Bevan Avenue, Abbotsford, V2S0E7",49.0435524,-122.3005743
Maple Ridge / Pitt Meadows Community,"22718 Lougheed Highway, Maple Ridge, V2X2V6",49.2165275,-122.5930038
Richmond Family Place Society,"Debeck House, Richmond, V6Y2S3",49.1504509,-123.118352
Big Brothers & Big Sisters - Langley,"201 20538 Fraser Hwy, Langley, V3A4R3",49.1037154,-122.6533865
Vancouver Aboriginal Friendship Centre,"1607 East Hastings Street, Vancouver, V5L1S7",49.2815474,-123.0719847
House of Omeed,"230 - 3355 North Road, Burnaby, V3J7T9",49.2537755,-122.893532
YWCA Metro Vancouver,"535 Hornby St, 4th Fl, Vancouver, V6C2E8",49.285573,-123.1177488
Kiwassa Neighbourhood Services,"2425 Oxford St, Vancouver, V5K1M7",49.2859829,-123.0555911
Community First Foundation,"102 - 370 Esplanade E, North Vancouver, V7L1A4",49.31103419999999,-123.0788196
Langley Environmental Partners Society,"4914 - 221st Street, Langley, V3A3Z8",49.09079,-122.60976
Low Entropy Foundation,"1511 Eagle Mountain Drive, Coquitlam, V3E2Y6",49.300376,-122.818116
Vancouver Venture for Diversity Society,"909 - 945 Marine Dr, West Vancouver, V7T1A8",49.3276911,-123.1429303
Langley School District Foundation,"4875 - 222nd Street, Langley, V3A3Z7",49.0907395,-122.6086278
DIVERSEcity Community Resources Society,"13455 76 Avenue, Surrey, V3W2W3",49.1410869,-122.849405
Pacific Community Church,"5337 - 180th Street, Surrey, V3S4K5",49.10001459999999,-122.7244685
Alexandra Neighbourhood House,"2916 McBride Avenue, Surrey, V4A3G2",49.05553370000001,-122.885007
PACE - Providing Alternatives,"148 Hastings St W, Vancouver, V6B1G8",49.2821568,-123.1087703
Hope Action Values Ethics Culinary,"374 Powell Street, Vancouver, V6A1G4",49.2830001,-123.0960338
Downtown Eastside Neighbourhood House,"408 - 533 E Hastings St, Vancouver, V6A1P9",49.28109569999999,-123.0951707
Potluck Cafe (2003) Society,"20 West Hastings St, Vancouver, V6B1G8",49.2815457,-123.1054373
Union Gospel Mission,"PO Box 2546, Vancouver, V6B3W8",49.279879,-123.115886
MOSAIC,"5575 Boundary Rd, Vancouver, V5R2P9",49.2335537,-123.0239332
Mom to Mom Child Poverty Initiative,"500 - 610 Main St, Vancouver, V6A2V3",49.2793074,-123.099343
Mission Community Services Society,"33179 - 2nd Avenue, Mission, V2V1J9",49.135515,-122.3050854
Mount Pleasant Neighbourhood House,"800 Broadway E, Vancouver, V5T1Y1",49.2622401,-123.0861603
Richmond Family Place Society,"Debeck House, Richmond, V6Y2S3",49.1504509,-123.118352
YWCA Metro Vancouver,"535 Hornby St, 4th Fl, Vancouver, V6C2E8",49.285573,-123.1177488
Westcoast Family Centres Society,"220 - 2010 East 48th Avenue, Vancouver, V5P1R8",49.2261469,-123.0653359
School District #35 - Langley,"Attn Employee Chair United Way, Langley, V3A3Z7",0.0,0.0
Encompass Support Services,"#103 - 20230 64th Avenue, Langley, V2Y1N3",49.1183102,-122.6622178
School District #46 - Sunshine Coast,"PO Box 220, Gibsons, V0N1V0",49.3974171,-123.5152222
Hope & Area Transition Society,"PO Box 1761, Hope, V0X1L0",49.379491,-121.4416917
School District #38 - Richmond,"7811 Granville Avenue, Richmond, V6Y3E3",49.1630684,-123.1395119
Down Syndrome Research Foundation &,"1409 Sperling Avenue, Burnaby, V5B4J8",49.271316,-122.964953
School District #43 - Coquitlam,"550 Poirier Street, Coquitlam, V3J6A7",49.2519883,-122.8471507
MOSAIC,"5575 Boundary Rd, Vancouver, V5R2P9",49.2335537,-123.0239332
Food Stash Foundation,"4653 Drummond Drive, Vancouver, V6R1E8",49.27200029999999,-123.2136725
Progressive Intercultural Community,"205-12725 80th Ave, Head Office, Surrey, V3W3A6",49.14904569999999,-122.870307
DIVERSEcity Community Resources Society,"13455 76 Avenue, Surrey, V3W2W3",49.1410869,-122.849405
Learning Disabilities Society of Greater,"3292 E Broadway, Vancouver, V5M1Z8",49.261581,-123.0342309
Access Youth Outreach Services Society,"6 - 2601 Lougheed Hwy, Coquitlam, V3C4J2",49.2474311,-122.8033874
House of Omeed,"230 - 3355 North Road, Burnaby, V3J7T9",49.2537755,-122.893532
Westcoast Family Centres Society,"220 - 2010 East 48th Avenue, Vancouver, V5P1R8",49.2261469,-123.0653359
Sources Community Resources Society,"882 Maple Street, White Rock, V4B4M2",49.0180197,-122.7884011
Jewish Family Service Agency Vancouver,"320 - 2285 Clark Dr, Vancouver, V5N3G9",49.2644961,-123.0779224
St Andrew's United Church - N Vancouver,"1044 St Georges Avenue, North Vancouver, V7L3H6",49.3172824,-123.069121
Protein for People,"314 - 68 Richmond St, New Westminster, V3L5S2",49.2176322,-122.8956286
Hope Community Services,"PO Box 74, Hope, V0X1L0",49.379491,-121.4416917
City of Burnaby,"4949 Canada Way, Burnaby, V5G1M2",49.24335319999999,-122.9724921
Crossroads Hospice Society - Coquitlam,"209 - 2773 Barnet Hwy, Coquitlam, V3B1C2",49.2781507,-122.8063291
Asian Canadian Benevolent Associaton,"201 -- 427 Dunlevy Avenue, Vancouver, V6A3Y4",49.281032,-123.095796
Sunshine Coast Community Services,"PO Box 1069, Sechelt, V0N3A0",49.5627453,-123.7532017
Salvation Army - BC South Divisional HQ,"103 - 3833 Henning Dr, Burnaby, V5C6N5",49.2654177,-123.0202146
Lower Mainland Purpose Society for,"40 Begbie Street, New Westminster, V3M3L9",49.202047,-122.9112575
Lower Mainland Purpose Society for,"40 Begbie Street, New Westminster, V3M3L9",49.202047,-122.9112575
North Shore Neighbourhood House,"225 2 St E, North Vancouver, V7L1C4",49.3106412,-123.0739475
Burnaby Neighbourhood House,"4460 Beresford St, Burnaby, V5H0B8",49.225379,-123.0043059
Immigrant Link Centre Society,"403 - 206 Therrien Street, Coquitlam, V3K4T1",49.23942,-122.86162
EYA Environmental Youth Alliance Society,"PO Box 34097 Station D, Vancouver, V6J4M1",49.26430449999999,-123.1439343
UrbanPromise Ministries,"PO Box 66047, Vancouver, V5N5L4",49.26519940000001,-123.0695268
Share Family & Community Services,"104 – 3020 Lincoln Avenue, Coquitlam, V6B6B4",49.2786078,-122.7926421
Share Family & Community Services,"104 – 3020 Lincoln Avenue, Coquitlam, V6B6B4",49.2786078,-122.7926421
WePress Community Arts,"9 Hastings Street West, Vancouver, V6B1G4",49.2817472,-123.1051482
Mount Pleasant Neighbourhood House,"800 Broadway E, Vancouver, V5T1Y1",49.2622401,-123.0861603
Crisis Intervention & Suicide,"763 East Broadway, Vancouver, V5T1X8",49.262647,-123.0877288
Tri-City Transitions Society,"402 - 2071 Kingsway Ave, Port Coquitlam, V3C6N2",49.2588881,-122.774223
Stigma-Free Society,"520 - 885 Dunsmuir St, Vancouver, V6C1N5",49.2832327,-123.115584
Kateslem Youth Society,"2194 Sunnyside Road, Anmore, V3H4Y4",49.3076847,-122.8607363
Collingwood Neighbourhood House,"5288 Joyce Street, Vancouver, V5R6C9",49.2366592,-123.0328345
Collingwood Neighbourhood House,"5288 Joyce Street, Vancouver, V5R6C9",49.2366592,-123.0328345
Horizon Church,"15100  66 A Ave, Surrey, V3S2A6",49.12240240000001,-122.8037128
Peace Portal Alliance Church,"15128 - 27B Avenue, Surrey, V4P1P2",49.0524004,-122.8031202
Aboriginal Mother Centre Society,"208 - 2019 Dundas St, Vancouver, V5L1J5",49.2850678,-123.0628514
Archway Community Services,"2420 Montrose Avenue, Abbotsford, V2S3S9",49.0461038,-122.2901085
BC Centre for Ability Foundation,"2805 Kingsway, Vancouver, V5R5H9",49.2371545,-123.0470547
Youth for Christ,"115 - 12975  84 Ave, Surrey, V3W1B3",49.1557678,-122.8629328
Touchstone Family Association,"120 - 6411 Buswell St, Richmond, V6Y2G5",49.1658823,-123.1338365
Kitsilano Neighbourhood House,"2305 West 7th Ave, Vancouver, V6K1Y4",49.26589140000001,-123.158251
Children's Organ Transplant Society,"8323 Fremlin Street, Vancouver, V6P3X1",49.2104782,-123.1278042
Covenant House Vancouver,"575 Drake Street, Vancouver, V6B4K8",49.2754401,-123.126438
Family Services of the North Shore,"203 - 1111 Lonsdale Ave, North Vancouver, V7M2H4",49.3182316,-123.0728693
BC Schizophrenia Society,"1100 - 1200 W 73 Ave, Vancouver, V6P6G5",49.2040712,-123.1333369
Hollyburn Family Services Society,"210 - 255 1st St W, North Vancouver, V7M3G3",49.31369429999999,-123.0820973
Family Services of the North Shore,"203 - 1111 Lonsdale Ave, North Vancouver, V7M2H4",49.3182316,-123.0728693
Options Community Services Society,"9815 - 140th St, Surrey, V3T4M4",49.18060759999999,-122.8348346
Little Mountain Neighbourhood House,"3981 Main Street, Vancouver, V5V3P3",49.2496909,-123.101328
KidSafe Project Society,"201 - 211 E Georgia St, Vancouver, V6A1Z6",49.2786754,-123.0991962
John Howard Society of the Lower,"763 Kingsway, Vancouver, V5V3C2",49.2560787,-123.0879382
Children's Family House Society BC -,"4567 Heather St, Vancouver, V5Z0C9",49.2430077,-123.1213108
Alexandra Neighbourhood House,"2916 McBride Avenue, Surrey, V4A3G2",49.05553370000001,-122.885007
African Stages Association,"39 - 10038 150 Street, Surrey, V3R0M8",49.184516,-122.8060782
Kateslem Youth Society,"2194 Sunnyside Road, Anmore, V3H4Y4",49.3076847,-122.8607363
Meals on Wheels - Langley,"20414 Douglas Cres, Langley, V3A4B4",49.1034855,-122.6559227
Children's Organ Transplant Society,"8323 Fremlin Street, Vancouver, V6P3X1",49.2104782,-123.1278042
DRS Earthwise Society,"6400 3rd Avenue, Delta, V4K1B1",49.0810045,-123.0795716
South Vancouver Family Place,"7710 Nanaimo St, Vancouver, V5P4Y2",49.21418999999999,-123.0584788
Watari Research Association,"200 - 678 E Hastings St, Vancouver, V6A1R1",49.2809247,-123.0900966
SFU - Simon Fraser University,"8888 University Dr,  Attn: Advancement, Burnaby, V5A1S6",49.2770626,-122.9161002
M2/W2 Association - Restorative,"208 - 2825 Clearbrook Rd, Abbotsford, V2T6S3",49.0534589,-122.3386667
Helping Spirit Lodge Society,"3965 Dumfries Street, Vancouver, V5N5R3",49.2498454,-123.0735447
Creative Centre Society,"PO Box 8000, PMB 146, Abbotsford, V2S6H1",49.0390384,-122.2725525
Fraser Region Community Justice,"102B - 6270  205 Street, Langley, V3A4C4",49.11539459999999,-122.6536787
Long-term Inmates Now in Community,"33270 14th Ave, Mission, V2V4Z7",49.1472269,-122.3029242
New View Society,"2050 Mary Hill Rd, Port Coquitlam, V3C2Z8",49.253531,-122.7783871
CityReach Care Society,"c/o 2700 East Broadway, Vancouver, V5M1Y8",49.2614793,-123.0488539
Change The World Foundation,"1073 Roosevelt Cres, North Vancouver, V7P1M4",49.3219079,-123.103657
Sea to Sky Community Services Society,"38024 Fourth Ave, Squamish, V8B0A7",49.6997653,-123.15654
Holy Trinity Parish of New Westminster,"514 Carnarvon St, New Westminster, V3L1C4",49.2045295,-122.9077324
Big Brothers Big Sisters of the,"200 - 2445 W Railway St, Abbotsford, V2S2E3",49.046256,-122.2869432
Touchstone Family Association,"120 - 6411 Buswell St, Richmond, V6Y2G5",49.1658823,-123.1338365
South Vancouver Neighbourhood House,"6470 Victoria Dr, Vancouver, V5P3X7",49.225528,-123.0653392
Maple Ridge / Pitt Meadows Community,"22718 Lougheed Highway, Maple Ridge, V2X2V6",49.2165275,-122.5930038
Chilliwack Learning Community Society,"4905 Yale Rd, Chilliwack, V2P6T4",49.1550991,-121.9612612
Rotary Club of Steveston,"12111 3rd Ave., Richmond, V7E3K1",49.12551089999999,-123.1860121
Adler University Vancouver Foundation,"520 Seymour Street, Vancouver, V6B3J5",49.283748,-123.1139805
Chilliwack Community Services,"45938 Wellington Avenue, Chilliwack, V2P2C7",49.1710401,-121.9534069
Vancouver Chinatown Foundation for,"300 - 127 Pender St E, Vancouver, V6A1T6",49.28056249999999,-123.1012527
Chabad of Richmond,"200 - 4775 Blundell Rd, Richmond, V7C1H2",49.1559614,-123.1708321
School District #48 - Squamish,"37866 Second Ave, Box 250, Squamish, V8B0A2",49.69647130000001,-123.1562819
UWBC Sardis Hi Neighbour,"P207 - 33355 Bevan Avenue, Abbotsford, V2S0E7",49.0435524,-122.3005743
Little Mountain Neighbourhood House,"3981 Main Street, Vancouver, V5V3P3",49.2496909,-123.101328
Britannia Community Services Centre,"1661 Napier Street, Vancouver, V5L4X4",49.2754699,-123.0705918
Britannia Community Services Centre,"1661 Napier Street, Vancouver, V5L4X4",49.2754699,-123.0705918
Network of Inner City Community,"200 - 739 Gore Avenue, Vancouver, V6A2Z9",49.2828502,-123.0974253
Frog Hollow Neighbourhood House,"2131 Renfrew St, Vancouver, V5M4M5",49.2653397,-123.0447299
Big Brothers of Greater Vancouver,"102 - 1193 Kingsway, Vancouver, V5V3C9",49.2524818,-123.080318
Big Sisters of BC Lower Mainland,"34 East 12th Avenue, Vancouver, V5T2G5",49.26001489999999,-123.1041514
Yo Bro Yo Girl Youth Initiative Society,"810-570 Granville St, Vancouver, V6C3P1",49.2837632,-123.1156719
Dan Snook Trust Foundation,"311 - 815  5th Ave, New Westminster, V3M1Y1",49.20962,-122.92348
Leave Out Violence (Love) Society BC,"2455 Fraser St, Vancouver, V5T0E6",49.2627896,-123.0896433
**Connections Community Services Society,"110 - 5751 Cedarbridge Way, Richmond, V6X2A8",49.1736429,-123.1428317
Sardis Doorway for Mothers & Children,"45625 South Sumas Road, Sardis, V2R4M7",49.1188468,-121.9614749
Seabird Island Band,"PO Box 650, Agassiz, V0M1A0",49.250317,-121.7216431
Pacific Immigrant Resources Society,"1874 Kingsway, Vancouver, V5N4S7",49.2457984,-123.0671463
QQS (Eyes) Projects Society,"Post Office Box 786, Bella Bella, V0T1Z0",52.1605419,-128.1455793
SUCCESS (United Chinese Community,"28 W Pender St, Vancouver, V6B1R6",49.28048949999999,-123.1051375
Refood Food Rescue Foundation,"11 - 1010 Ewen Avenue, New Westminster, V3M5C9",49.18546,-122.94679
Muslim Food Bank Society,"235 - 11590 Cambie Rd, Richmond, V6X3Z5",49.1837565,-123.0946638
Whole Way House Society,"310 Alexander Street, Vancouver, V3A1C3",49.2839565,-123.0972923
Community Builders Benevolence Group,"1060 Howe St, Vancouver, V6Z1P5",49.2791702,-123.1247186
Parish of St Augustine,"8680 Hudson Street, Vancouver, V6P4M5",49.2073592,-123.1342336
Khalsa Diwan Society,"8000 Ross Street, Vancouver, V5X4C5",49.211635,-123.0826114
Pathways Clubhouse Society of Richmond,"315-8111 Granville Avenue, Richmond, V6Y1G2",49.162933,-123.1355202
Multicultural Helping House Society,"4802 Fraser Street, Vancouver, V5V4H4",49.2415911,-123.0900986
Chilliwack Youth Health Centre Society,"46363 Yale Road, Chilliwack, V2P2P8",49.1767214,-121.9427295
Chilliwack Community Services,"45938 Wellington Avenue, Chilliwack, V2P2C7",49.1710401,-121.9534069
Zajac Ranch Society,"300 - 2006  W 10th Ave, Vancouver, V6J2B3",49.2626691,-123.1509732
AIDS Vancouver Society,"1101 Seymour St, Vancouver, V6B0R1",49.2776191,-123.1241583
Atira Women's Resource Society,"201 - 190 Alexander St, Vancouver, V6A1B5",49.2840887,-123.0995227
Downtown Eastside Women's Centre,"302 Columbia Street, Vancouver, V6A4J1",49.2821393,-123.1020496
Whistler Community Services Society,"PO Box 900, Whistler, V0N1B0",50.0937567,-123.0118768
Kettle Friendship Society,"1725 Venables Street, Vancouver, V5L2H3",49.2768992,-123.0700836
Southern Stl'atl'imx Charitable Society,"200 - 100 Park Royal South, West Vancouver, V7A1A2",49.3253134,-123.1336812
Network of Inner City Community,"200 - 739 Gore Avenue, Vancouver, V6A2Z9",49.2828502,-123.0974253
Strathcona Community Centre Association,"601 Keefer Street, Vancouver, V6A3V8",49.27965589999999,-123.0917899
Boys & Girls Clubs of South Coast BC,"2875 St George St, Vancouver, V5T3R8",49.2588847,-123.0934153
Parent Support Services Society of BC,"204 - 5623 Imperial St, Burnaby, V5J1G1",49.2222187,-122.981994
Capilano Community Services Society,"Delbrook Community Ctr North, North Vancouver, V7N2L3",49.3371641,-123.0864553
Health & Home Care Society of BC,"204-3077 Granville St, Vancouver, V6H3J9",49.2583073,-123.1391734
Xolhemet Transition House Society,"PO Box 25, Sardis, V2R1A5",0.0,0.0
Richmond Food Bank Society,"100 - 5800 Cedarbridge Way, Richmond, V6X2A7",49.1729289,-123.1417249
National Zakat Foundation,"214 - 115 Matheson Blvd W, Mississauga, L5R3L1",43.6173539,-79.6720148
Lower Mainland Christmas Bureau,"4 - 1870 Pandora St, Vancouver, V5L1M5",49.2829168,-123.0662647
FarmFolk / CityFolk Society,"203 - 1661 Duranleau St, Vancouver, V6H3S3",49.2720105,-123.135816
Posabilities Association of BC,"240 - 4664 Lougheed Hwy, Burnaby, V5C5T5",49.2653877,-122.9982501
Marpole Neighbourhood House,"8585 Hudson Street, Vancouver, V6P4M3",49.208802,-123.1347425
City of Surrey,"13450 104 Ave, Surrey, V3T1V8",49.1913466,-122.8490126
Sources Community Resources Society,"882 Maple Street, White Rock, V4B4M2",49.0180197,-122.7884011
AOK Acts of Kindness Society,"23589 Old Yale Road, Langley, V2Z2K4",49.0776882,-122.5711573
Watari Research Association,"200 - 678 E Hastings St, Vancouver, V6A1R1",49.2809247,-123.0900966
South Vancouver Neighbourhood House,"6470 Victoria Dr, Vancouver, V5P3X7",49.225528,-123.0653392
Washington Kids Foundation,"108B - 245 Fell Ave, North Vancouver, V7P2K1",49.3189571,-123.0951876
